rut_origen,dv_origen,banco_origen,cuenta_origen,rut_destino,dv_destino,banco_destino,cuenta_destino,monto_transf,tipo_transf,fecha_transferencia,hora_transferencia,comentario
20895443,0,Banco BCI,19783413,19403779,5,Banco de Chile,99451223,65150,TEF,2023-10-13,22:00:00,Honorarios
15196992,9,Banco de Chile,23887068,6035007,9,Banco Santander,34304650,176835,TEF,2023-11-18,11:00:00,Remuneración
18595884,K,Scotiabank,14668110,19919999,6,Banco Santander,26082032,56301,TEF,2023-10-31,17:00:00,Pago
9287910,7,Banco de Chile,55799497,21132479,3,Banco de Chile,92214929,112535,TEF,2023-11-22,00:00:00,Devolución
9056556,5,Banco BCI,45900513,19044576,K,Banco Estado,48854581,152584,TEF,2023-11-12,11:00:00,Pago
17280563,0,Banco de Chile,77421100,16241022,6,Banco Estado,84705133,246122,TEF,2023-11-10,09:00:00,Honorarios
3934342,3,Banco BCI,73656749,3525322,8,Banco BCI,83865362,249282,TEF,2023-10-02,21:00:00,Honorarios
22897150,5,Banco BCI,67700194,21045174,5,Banco Santander,35639835,178123,TEF,2023-11-11,09:00:00,Remuneración
8607106,0,Banco Estado,63190837,4362441,8,Itau,47465803,36469,TEF,2023-11-27,12:00:00,Devolución
6354481,1,Banco de Chile,87353451,5202003,6,Scotiabank,93767654,197139,TEF,2023-11-23,06:00:00,Pago
9378960,2,Banco Santander,25073273,2351251,2,Scotiabank,88654718,64295,TEF,2023-11-27,20:00:00,Remuneración
3889046,9,Banco de Chile,79763278,2651844,6,Banco Estado,86808333,227189,TEF,2023-10-06,09:00:00,Varios
6902799,8,Banco de Chile,74958732,20229750,9,Banco Santander,11631581,243986,TEF,2023-11-06,02:00:00,Pago
9678250,9,Banco Estado,62392299,3525322,8,Banco BCI,83865362,43459,TEF,2023-10-11,15:00:00,Varios
1602618,K,Banco Santander,66162272,17387560,0,Banco BCI,35953575,175094,TEF,2023-10-29,08:00:00,Abono
21393442,9,Scotiabank,11760901,21641463,K,Itau,21971080,51173,TEF,2023-11-04,21:00:00,Honorarios
24772819,4,Banco Estado,26545444,21186459,7,Banco BCI,17331494,89086,TEF,2023-11-07,22:00:00,Remuneración
1485018,8,Banco Estado,25493011,23232071,7,Banco Santander,68540708,142958,TEF,2023-11-13,03:00:00,Pago
24929420,3,Banco Santander,72034323,7588872,9,Scotiabank,60817143,204827,TEF,2023-11-29,05:00:00,Honorarios
13011018,9,Banco de Chile,79856741,4696575,0,Itau,65859397,193902,TEF,2023-11-20,00:00:00,Servicios
10052753,1,Banco de Chile,62507541,9598496,6,Banco BCI,50845472,235652,TEF,2023-10-12,13:00:00,Préstamo
7787706,5,Banco de Chile,42492557,1270950,0,Banco Santander,65201726,107903,TEF,2023-11-22,15:00:00,Devolución
16046153,8,Banco BCI,58688125,6008987,0,Banco de Chile,36333373,121470,TEF,2023-10-13,02:00:00,Honorarios
16059938,1,Itau,96180239,19823911,7,Banco Santander,87085295,241112,TEF,2023-10-14,17:00:00,Pago
16271242,1,Banco Santander,13867227,8034166,0,Banco BCI,24445732,132374,TEF,2023-11-15,09:00:00,Honorarios
9817757,K,Scotiabank,42988731,17769516,6,Banco Santander,24242448,110342,TEF,2023-10-20,18:00:00,Devolución
19077505,3,Scotiabank,78448409,11297721,0,Itau,58258449,217096,TEF,2023-10-14,14:00:00,Varios
9287910,7,Banco de Chile,55799497,13778456,4,Banco BCI,80818026,232751,TEF,2023-10-25,06:00:00,Devolución
24772819,4,Banco Estado,26545444,10026157,3,Scotiabank,94245707,104091,TEF,2023-11-19,19:00:00,Honorarios
2105335,8,Banco Santander,52329191,2180681,9,Itau,44101074,16333,TEF,2023-11-29,13:00:00,Devolución
11100332,9,Banco Estado,81729905,9581614,6,Banco de Chile,10125199,7191,TEF,2023-11-15,20:00:00,Préstamo
24257235,7,Scotiabank,32552346,23133060,2,Banco Estado,36763457,19005,TEF,2023-10-28,08:00:00,Remuneración
23160648,9,Banco Santander,84531528,23402485,0,Banco Santander,26661606,211124,TEF,2023-10-25,13:00:00,Varios
11211330,K,Banco Estado,71075979,2650616,1,Scotiabank,71741664,64939,TEF,2023-10-01,20:00:00,Abono
22251950,3,Banco Estado,29106235,23441315,2,Banco Estado,84058636,184610,TEF,2023-10-08,17:00:00,Varios
15884339,7,Banco BCI,76417088,7138662,6,Banco Santander,15135164,6861,TEF,2023-10-31,19:00:00,Abono
9045679,4,Banco Santander,23636786,2345562,6,Banco Santander,73844702,59875,TEF,2023-10-19,06:00:00,Honorarios
11968509,9,Banco de Chile,64535831,21848740,K,Banco de Chile,73846710,241840,TEF,2023-10-09,14:00:00,Préstamo
19703541,8,Itau,45184295,17769516,6,Banco Santander,24242448,50382,TEF,2023-10-28,02:00:00,Varios
12753266,0,Scotiabank,73187435,2911536,5,Itau,72813847,23816,TEF,2023-10-02,04:00:00,Devolución
16207005,8,Itau,83747723,2913298,K,Banco Estado,31602867,245858,TEF,2023-11-27,04:00:00,Devolución
15733709,9,Banco de Chile,46715149,20229750,9,Banco Santander,11631581,243344,TEF,2023-11-11,00:00:00,Varios
9287910,7,Banco de Chile,55799497,7933466,6,Banco BCI,75843283,169471,TEF,2023-10-15,05:00:00,Honorarios
20408995,0,Scotiabank,57807519,3086175,5,Banco de Chile,67349662,22107,TEF,2023-10-22,14:00:00,Devolución
1270950,0,Banco Santander,65201726,19403779,5,Banco de Chile,99451223,66248,TEF,2023-10-16,03:00:00,Préstamo
22603528,K,Banco de Chile,33140897,3908515,4,Banco Estado,74454513,65378,TEF,2023-11-22,18:00:00,Honorarios
21045174,5,Banco Santander,35639835,23420827,9,Scotiabank,67858130,187897,TEF,2023-11-26,23:00:00,Préstamo
20925184,2,Banco BCI,76808559,12394253,3,Banco BCI,62133938,130332,TEF,2023-10-26,04:00:00,Remuneración
22685479,1,Banco de Chile,57399126,8386282,8,Scotiabank,65050600,132301,TEF,2023-11-12,14:00:00,Pago
17815704,0,Banco BCI,74040532,2651844,6,Banco Estado,86808333,184595,TEF,2023-10-20,09:00:00,Pago
7027292,7,Banco Estado,58633944,11255375,1,Scotiabank,73657910,133803,TEF,2023-10-19,19:00:00,Remuneración
17297611,4,Banco de Chile,36618574,4038682,1,Banco BCI,24011426,21219,TEF,2023-11-04,17:00:00,Préstamo
11968509,9,Banco de Chile,64535831,5266339,4,Scotiabank,86734001,246792,TEF,2023-10-30,16:00:00,Honorarios
19575333,8,Banco de Chile,18730200,17819899,2,Banco Santander,40688040,22413,TEF,2023-10-09,20:00:00,Honorarios
12876345,0,Scotiabank,85945032,16289818,9,Banco Estado,73903873,56602,TEF,2023-11-19,22:00:00,Servicios
8613958,7,Banco de Chile,31804209,20699465,9,Banco Estado,72949946,57017,TEF,2023-10-05,08:00:00,Honorarios
9909626,K,Scotiabank,45777787,9102728,1,Scotiabank,29237685,210586,TEF,2023-10-29,14:00:00,Honorarios
11115920,0,Banco de Chile,95079305,6132021,3,Scotiabank,48758802,108006,TEF,2023-10-24,15:00:00,Devolución
2351251,2,Scotiabank,88654718,11460849,9,Banco Estado,34315463,196274,TEF,2023-11-28,14:00:00,Pago
8374950,5,Banco BCI,69766465,1485018,8,Banco Estado,25493011,127469,TEF,2023-11-04,02:00:00,Varios
17132041,8,Banco Santander,58030965,18995510,1,Banco de Chile,94076677,161650,TEF,2023-11-18,08:00:00,Abono
17192844,4,Banco Estado,31778293,23539970,3,Scotiabank,81884752,16749,TEF,2023-10-02,21:00:00,Honorarios
5739928,7,Itau,63541984,5230019,K,Banco Santander,52296728,85843,TEF,2023-11-18,22:00:00,Remuneración
3057692,0,Scotiabank,25737541,1035437,7,Banco Estado,90044583,220983,TEF,2023-10-11,21:00:00,Abono
22574023,2,Itau,63805958,17431434,K,Banco Estado,10544124,33861,TEF,2023-11-23,01:00:00,Remuneración
17086344,K,Banco BCI,63972545,4729572,2,Banco de Chile,71864146,97020,TEF,2023-11-27,10:00:00,Honorarios
21103031,4,Itau,21483275,18364670,6,Banco BCI,93691660,223674,TEF,2023-11-02,07:00:00,Servicios
8214804,4,Banco Santander,55843600,15555851,1,Scotiabank,90295789,31861,TEF,2023-11-09,04:00:00,Abono
2010369,2,Banco Estado,49459054,9537988,9,Banco Santander,47775895,192790,TEF,2023-10-02,07:00:00,Abono
11333249,3,Banco de Chile,31233594,2703752,8,Banco Santander,31888760,139625,TEF,2023-10-24,22:00:00,Varios
16241022,6,Banco Estado,84705133,14389384,5,Banco de Chile,41889832,164380,TEF,2023-10-26,04:00:00,Varios
2277904,0,Banco de Chile,66952022,11635038,8,Banco de Chile,36323839,23276,TEF,2023-11-22,07:00:00,Pago
19908043,2,Banco de Chile,50851872,12834116,5,Banco Santander,78864734,208299,TEF,2023-10-15,23:00:00,Honorarios
22356055,1,Banco BCI,26149580,24187151,3,Banco BCI,14635956,220326,TEF,2023-10-20,06:00:00,Préstamo
9290968,4,Scotiabank,34524738,11100332,9,Banco Estado,81729905,12509,TEF,2023-10-09,03:00:00,Abono
7960891,K,Banco de Chile,46699887,23579513,4,Itau,16932096,198511,TEF,2023-10-12,12:00:00,Abono
2813067,5,Itau,20549783,16738734,8,Banco de Chile,62742696,22646,TEF,2023-11-18,16:00:00,Préstamo
16391624,2,Banco Santander,37354010,17466398,8,Banco BCI,37277221,188336,TEF,2023-10-04,02:00:00,Abono
15993169,9,Scotiabank,84502254,22595727,2,Banco BCI,92510237,120892,TEF,2023-10-23,09:00:00,Honorarios
21561089,0,Itau,74073299,10994771,9,Banco Estado,68233866,42563,TEF,2023-11-05,19:00:00,Abono
16845359,6,Banco de Chile,14253301,1818487,K,Itau,97074373,71874,TEF,2023-11-14,02:00:00,Honorarios
15081316,3,Banco de Chile,92762291,19348672,4,Banco de Chile,58933853,238774,TEF,2023-11-11,15:00:00,Pago
23545789,3,Banco de Chile,20974417,17849529,1,Scotiabank,99773990,234968,TEF,2023-11-18,00:00:00,Abono
21329524,7,Banco BCI,41241725,16596318,6,Scotiabank,52706868,171146,TEF,2023-10-26,16:00:00,Varios
17758674,1,Scotiabank,28748226,2913298,K,Banco Estado,31602867,9841,TEF,2023-10-03,23:00:00,Honorarios
18773947,7,Banco Santander,64247126,16289818,9,Banco Estado,73903873,230569,TEF,2023-11-05,02:00:00,Honorarios
19635327,3,Itau,76007063,4838080,4,Banco Estado,66586327,72792,TEF,2023-11-20,07:00:00,Abono
8034166,0,Banco BCI,24445732,2481925,9,Itau,86042966,164351,TEF,2023-10-22,12:00:00,Pago
17025439,5,Banco de Chile,44827984,23160648,9,Banco Santander,84531528,52316,TEF,2023-10-28,03:00:00,Varios
4250638,1,Scotiabank,21081808,2334579,7,Banco BCI,34754226,49852,TEF,2023-10-12,15:00:00,Honorarios
20924807,5,Scotiabank,33263750,17850290,5,Banco de Chile,24122672,225032,TEF,2023-11-05,03:00:00,Préstamo
12478915,7,Banco de Chile,79251877,17466398,8,Banco BCI,37277221,96723,TEF,2023-11-07,01:00:00,Varios
9393195,2,Banco BCI,85103794,18217248,2,Banco Santander,22263221,154837,TEF,2023-10-30,08:00:00,Abono
17479384,3,Itau,76529671,15884339,7,Banco BCI,76417088,161622,TEF,2023-11-02,16:00:00,Devolución
19232616,1,Banco Estado,83358474,18683313,4,Banco Santander,38482821,13976,TEF,2023-11-02,02:00:00,Remuneración
7448059,2,Banco BCI,44178801,9457316,2,Banco BCI,96193521,130695,TEF,2023-11-29,03:00:00,Préstamo
21599132,4,Banco Estado,54640632,23468852,8,Banco Santander,63757629,134755,TEF,2023-10-07,04:00:00,Préstamo
3256179,K,Banco Santander,55304051,4534059,4,Banco de Chile,72250874,148645,TEF,2023-11-26,17:00:00,Varios
12456021,1,Banco BCI,80110329,21891583,8,Banco de Chile,83027622,10955,TEF,2023-10-06,20:00:00,Pago
9833289,3,Scotiabank,26118889,20989159,6,Scotiabank,32324544,122690,TEF,2023-10-11,03:00:00,Préstamo
24416288,0,Banco de Chile,82785269,19990990,5,Itau,52308876,180693,TEF,2023-11-06,22:00:00,Pago
12365077,4,Banco BCI,95211622,17359237,4,Banco BCI,86243744,209311,TEF,2023-11-05,01:00:00,Remuneración
11333249,3,Banco de Chile,31233594,6480685,1,Itau,23291897,218873,TEF,2023-10-26,18:00:00,Remuneración
23890304,6,Itau,15610666,22757917,9,Banco Estado,25393070,208745,TEF,2023-11-19,17:00:00,Abono
11173950,3,Banco Santander,29140674,18275213,5,Itau,57269550,140848,TEF,2023-11-04,01:00:00,Pago
24201726,9,Banco BCI,53839211,6766560,4,Banco BCI,99781158,11054,TEF,2023-11-16,10:00:00,Préstamo
2120166,7,Banco Estado,31083053,15081316,3,Banco de Chile,92762291,114668,TEF,2023-10-03,14:00:00,Pago
16435851,9,Itau,56548740,21497769,4,Scotiabank,29029698,20584,TEF,2023-11-10,10:00:00,Servicios
16719220,2,Banco Estado,20617381,8662981,6,Itau,44978170,70597,TEF,2023-11-02,10:00:00,Préstamo
1956158,2,Itau,97062308,1673308,4,Itau,64818996,69642,TEF,2023-11-19,16:00:00,Préstamo
14207523,3,Banco BCI,29091666,1057209,9,Scotiabank,69108181,35727,TEF,2023-10-20,15:00:00,Pago
14350168,2,Banco BCI,66507093,19290305,4,Scotiabank,57040617,156743,TEF,2023-10-25,18:00:00,Servicios
8237786,1,Banco BCI,47583313,15741869,8,Banco Santander,36941684,247636,TEF,2023-11-20,17:00:00,Préstamo
21103031,4,Itau,21483275,22816153,7,Banco Santander,95804289,200450,TEF,2023-11-30,18:00:00,Varios
3889046,9,Banco de Chile,79763278,14954453,3,Banco de Chile,79658249,89458,TEF,2023-10-14,07:00:00,Honorarios
9678250,9,Banco Estado,62392299,8103858,4,Banco BCI,90547282,82389,TEF,2023-11-02,05:00:00,Varios
1898793,9,Banco Santander,79218753,16808730,0,Banco BCI,13958964,113767,TEF,2023-11-10,23:00:00,Remuneración
5683730,3,Banco de Chile,16355969,13711500,0,Banco BCI,29192776,117424,TEF,2023-11-17,23:00:00,Préstamo
8034166,0,Banco BCI,24445732,18197014,4,Banco BCI,81995468,102959,TEF,2023-11-04,10:00:00,Honorarios
12349508,9,Banco Santander,25403869,24064892,6,Scotiabank,97581848,73647,TEF,2023-10-28,00:00:00,Préstamo
8076458,2,Banco Estado,68895075,14481678,0,Banco BCI,77596845,240185,TEF,2023-10-06,07:00:00,Pago
12225735,2,Banco de Chile,20769161,21186459,7,Banco BCI,17331494,220512,TEF,2023-11-23,19:00:00,Préstamo
23199638,K,Banco Estado,91585259,22897150,5,Banco BCI,67700194,228490,TEF,2023-11-16,23:00:00,Servicios
22574023,2,Itau,63805958,6912654,6,Banco de Chile,12850317,147201,TEF,2023-11-15,15:00:00,Servicios
10850596,0,Banco de Chile,52679434,19181182,0,Banco de Chile,61414285,93374,TEF,2023-11-07,21:00:00,Varios
18424955,2,Scotiabank,39870020,8973921,8,Banco de Chile,91603098,219669,TEF,2023-11-17,06:00:00,Remuneración
19919999,6,Banco Santander,26082032,20761327,8,Scotiabank,39595188,98899,TEF,2023-10-06,23:00:00,Abono
13295330,9,Banco Santander,87008816,7336549,3,Itau,96230979,157219,TEF,2023-10-22,20:00:00,Pago
17798136,0,Scotiabank,82263211,24129380,7,Banco BCI,18707925,39188,TEF,2023-10-23,03:00:00,Remuneración
21640788,K,Banco BCI,28057180,2345562,6,Banco Santander,73844702,133940,TEF,2023-10-11,12:00:00,Servicios
19575333,8,Banco de Chile,18730200,9901522,0,Banco Estado,76041630,11378,TEF,2023-11-30,01:00:00,Honorarios
8553963,4,Banco Santander,64784102,14207063,6,Scotiabank,39517836,55687,TEF,2023-10-20,07:00:00,Varios
7579474,K,Banco Santander,48223318,18691955,2,Banco de Chile,99854864,157283,TEF,2023-10-25,13:00:00,Préstamo
8289971,4,Scotiabank,33908037,15741869,8,Banco Santander,36941684,101572,TEF,2023-10-20,15:00:00,Devolución
2481925,9,Itau,86042966,23704928,7,Banco Estado,89372519,102709,TEF,2023-10-02,09:00:00,Servicios
23499928,9,Banco BCI,69332390,18217248,2,Banco Santander,22263221,38656,TEF,2023-11-21,17:00:00,Honorarios
17954689,1,Itau,59638978,2647688,1,Banco Santander,19698941,212077,TEF,2023-11-18,23:00:00,Remuneración
2169833,6,Scotiabank,33977951,16059938,1,Itau,96180239,160843,TEF,2023-10-23,03:00:00,Servicios
